drug_id,dci,position
527,INTERFERON BETA-1A / 30 µG,1
528,Fluticasone,1
529,Fluticasone,1
530,Tadalafil,1
531,Tadalafil,1
532,Moxifloxacine,1
533,Amoxicilline,1
534,Amoxicilline,1
535,Amoxicilline,1
536,Amoxicilline,1
537,Amoxicilline,1
538,Amoxicilline,1
539,Amoxicilline,1
540,Amoxicilline,1
541,Amoxicilline,1
542,Amoxicilline,1
543,Quétiapine,1
544,Quétiapine,1
545,Quétiapine,1
546,Quétiapine,1
547,Quétiapine,1
548,Quétiapine,1
549,Quétiapine,1
550,Quétiapine,1
551,Quétiapine,1
552,Quétiapine,1
553,Azithromycine,1
554,Azithromycine,1
555,Azithromycine,1
556,Azacitidine,1
557,Brinzolamide,1
557,Timolol,2
558,Azélastine,1
559,Azithromycine,1
560,Azithromycine,1
561,Azithromycine,1
562,Azithromycine,1
563,Azithromycine,1
564,Azithromycine,1
565,Azithromycine,1
566,Azithromycine,1
567,Azithromycine,1
568,Azithromycine,1
569,Azithromycine,1
570,Azithromycine,1
571,Azithromycine,1
572,Albendazole,1
573,Albendazole,1
574,Brinzolamide,1
575,Azithromycine,1
576,Acide hyaluronique,1
577,Acide hyaluronique,1
578,Budésonide,1
579,Huiles essentielles,1
579,Silicium,2
580,Imipeneme,1
580,Cilastatine,2
581,Ciprofloxacine,1
582,Ciprofloxacine,1
585,Mupirocine,1
586,Polyvidone Iodee,1
587,Polyvidone iodee,1
588,Métamizole,1
589,Insuline glargine,1
590,Insuline glargine,1
591,Prasugrel,1
592,Prasugrel,1
593,Prasugrel,1
594,Prasugrel,1
595,Prasugrel,1
596,Prasugrel,1
597,Prasugrel,1
598,Prasugrel,1
599,Clotrimazole,1
599,Dexamethasone,2
600,"Mycobacterium bovis BCG, souche Danoise 1331, atténuée",1
601,Thiamine,1
601,Pyridoxine,2
601,Cyanocobalamine,3
602,Montmorillonite beidellitique,1
604,"Compléments alimentaires à base de gingembre , curcuma et genièvre",1
606,Chlormadinone,1
606,Ethinylestradiol,2
607,Drospirénone,1
607,Ethynilestradiol,2
608,Oméprazole,1
609,Oméprazole,1
610,Oméprazole,1
611,Magnésium,1
611,Pyridoxine,2
612,Glibenclamide,1
613,Glibenclamide,1
614,Nonacog alfa (facteur IX de coagulation recombinant),1
615,Nonacog alfa (facteur IX de coagulation recombinant),1
616,Dexpanthenol,1
617,Dexpanthenol,1
618,Thiamine,1
618,Riboflavine,2
618,Pyridoxine,3
618,Cyanocobalamine,4
618,Nicotinamide,5
618,Acide pantothenique,6
618,Biotine,7
618,Aacide ascorbique,8
618,Calcium,9
618,Acide folique,10
618,Magnésium,11
618,Zinc,12
619,"Thiamine chlorhydrate (15 mg) , Riboflavine (vitamine B2, E101) (15 mg) , Pyridoxine chlorhydrate (10 mg) , Cyanocobalamine (Vitamine B12) (10 mcg) , Nicotinamide (50 mg) , Acide folique (400 mcg) , Acide pantothénique (23 mg) , Biotine (150 mcg) , Acide ascorbique (vitamine C, E300) (500 mg) , Calcium (100 mg) , Magnésium (100 mg) , Zinc (10 mg)",1
620,Besifloxacine,1
621,Rosuvastatine,1
622,Rosuvastatine,1
623,Rosuvastatine,1
624,Povidone iodée,1
625,Povidone iodée,1
626,Povidone Iodée,1
627,Povidone iodée,1
628,Povidone iodée,1
629,INTERFERON BETA-1B,1
630,Betahistine,1
631,Bethamethasone,1
632,Bétaméthasone,1
633,Bétaméthasone,1
633,Chlorocresol,2
634,Bétaméthasone,1
635,Bétaxolol,1
636,Mebeverine,1
637,Losartan,1
637,Hydrochlorothiazide,2
638,Losartan,1
638,Hydrchlorothiazide,2
639,Spiramycine,1
639,Métronidazole,2
640,Kétoprofène,1
641,Spiramycine,1
641,Métronidazole,2
642,Trolamine,1
643,Trolamine,1
644,Bicarbonate de sodium,1
645,Bicalutamide,1
646,Bicalutamide,1
647,Bicalutamide,1
648,Bicalutamide,1
649,Bicalutamide,1
650,Bicalutamide,1
651,Bicalutamide,1
652,Bicarbonate de sodium,1
653,Bisoprolol,1
654,Bisoprolol,1
655,"Bicarbonate de Na 65,95 G / L",1
655,"Chlorure de Na 23,53 G / L",2
656,Spiramycine,1
656,Métronidazole,2
657,BICTEGRAVIR,1
657,EMTRICITABINE TENOFOVIR ALAFENAMIDE,2
659,Vitamines,1
659,Minéraux,2
660,ACE,1
660,Sélénium,2
660,Zinc,3
661,Calcium,1
661,Vitamine D3,2
662,Magnésium,1
662,Pyridoxine,2
663,Magnésium,1
663,Vitamine B6,2
664,Multivitamines,1
665,Vitamine C,1
665,Acérola,2
666,Fer,1
666,Acide folique,2
667,Magnésium,1
668,Fer,1
669,Amoxicilline,1
670,Amoxicilline,1
671,Amoxicilline,1
672,Amoxicilline,1
673,Amoxicilline,1
674,Amoxicilline,1
675,Alpha amylase,1
676,Alpha amylase,1
677,Alpha amylase,1
679,Insuline Humaine Biogénétique,1
680,Amoxicilline,1
680,Acide clavulanique,2
681,Amoxicilline,1
681,Acide clavulanique,2
682,Amoxicilline,1
682,Acide clavulanique,2
683,Amoxicilline,1
683,Acide clavulanique,2
684,Amoxicilline,1
684,Acide clavulanique,2
685,Amoxicilline,1
685,Acide clavulanique,2
686,Amoxicilline,1
686,Acide clavulanique,2
687,Teinture de Kola,1
687,Acide Phosphorique,2
687,Glycérophosphate de Manganèse,3
688,Lévofloxacine,1
689,Lévofloxacine,1
690,Périndopril,1
690,Indapamide,2
691,Périndopril,1
691,Indapamide,2
692,Bisoprolol,1
693,Bisoprolol Hémifumarate,1
694,Bisoprolol hémifumarate,1
695,Bisoprolol,1
696,Bisoprolol,1
697,Bisoprolol,1
698,Bisoprolol,1
699,Bisoprolol,1
700,Bisoprolol,1
701,Bisoprolol,1
702,Spiramycine,1
702,Métronidazole,2
703,Bléomycine,1
704,Blinatumomab,1
705,Estriol,1
706,Bléomycine,1
708,Acide ibandronique,1
709,Ofatumumab,1
710,Bortezomib,1
711,Bortezomib,1
712,Bortézomib,1
713,Toxine botulique de type A,1
714,Bicarbonate de sodium,1
714,Inositol,2
714,Phosphate disodique,3
714,Sulfate de sodium,4
715,Encorafenib,1
716,Piroxicam,1
717,Piroxicam,1
718,Piroxicam,1
719,Piroxicam,1
720,Piroxicam,1
721,Ticagrélor,1
722,Brimonidine,1
723,Vortioxétine,1
724,Vortioxétine,1
725,Vortioxétine,1
726,Ambroxol,1
727,Ambroxol,1
728,Ambroxol,1
729,Carbocistéine,1
730,Carbocistéine,1
731,Carbocistéine,1
732,Carbocistéine,1
733,Carbocistéine,1
734,Fénotérol,1
734,Ipratropium,2
735,Carbocistéine,1
736,Carbocistéine,1
737,Carbocistéine,1
738,Carbocistéine,1
739,Carbocistéine,1
740,Carbocistéine,1
741,Carbocistéine,1
742,Carbocistéine,1
743,Ambroxol,1
744,Ambroxole,1
745,Ambroxol,1
746,Ambroxol,1
747,Formotérol,1
748,Tobramycine,1
748,Dexamethasone,2
749,Ibuprofène,1
750,Ibuprofène,1
751,Extract of Daruharidra (Berberis aristata),1
751,Extract of Manjistha (Rubia cordifolia,2
751,Extract of Chakvad (Cassia tora),3
751,Extract of Sarjak ras (Vateria indica,4
751,Neem extract (Azardirachta indica),5
751,Alum (Fitkari) Zinc Oxid,6
751,Cetrimide,7
751,Benzalkonium chloride,8
751,Cream base,9
752,Lidocaïne,1
752,Acide Salicylique,2
753,LysozymeHCL,1
753,Papaine,2
753,Bacitracine,3
753,TetracaineHCL,4
753,PyridoxineHCL,5
754,Phenoxymethypenicilline,1
755,Budésonide,1
756,Budésonide,1
757,Salbutamol,1
758,Salbutamol,1
759,Salbutamol,1
760,Bupivacaïne,1
761,Bupivacaïne,1
762,Bupivacaïne,1
763,Salbutamol,1
764,Salbutamol,1
765,Salbutamol,1
766,Salbutamol,1
767,Salbutamol,1
768,Clarithromycine,1
769,Cabozantinib,1
770,Cabozantinib,1
771,Cabozantinib,1
772,Calcium,1
773,Calcium,1
774,Calcium carbonate,1
775,Calcium carbonate,1
776,Calcium,1
776,Acide citrique,2
776,Colecalciferol,3
777,Calcium,1
777,Vitamine D3,2
778,Calcium,1
779,Calcium,1
780,Vitamine D3,1
780,Vitamine C,2
780,Calcium,3
780,Fer,4
781,Calcium,1
781,Vit D3,2
783,Amlodipine,1
784,Amlodipine,1
785,Amlodipine,1
786,Amlodipine,1
787,Calcium,1
787,vitamine D3,2
788,Calcium,1
788,vitamine D3,2
789,Hydroxypatite de calcium,1
789,Vitamine D3,2
789,"Extraits de plantes sèches ( Millet, prêle)",3
790,Magnésium marin,1
790,vitamine B6,2
791,Extrait de valériane,1
791,Extrait de passiflore,2
791,Extrait d'Escholzia,3
793,Fluconazole,1
794,Fluconazole,1
795,Fluconazole,1
796,Fluconazole,1
797,Candésartan cilexétil,1
798,Candésartan cilexétil,1
799,Candesartan,1
799,Hydrochlorothiazide,2
800,Fluconazole,1
801,Fluconazole,1
802,Fluconazole,1
804,Uree,1
805,Bifonazole,1
806,Chlorure de sodium,1
806,lactate de sodium,2
806,Chlorure de calcium dihydraté,3
806,Chlorure de magnésium hexahydraté,4
806,Glucose monohydraté,5
807,Chlorure de sodium,1
807,Lactate de sodium,2
807,Chlorure de calcium dihydraté,3
807,Chlorure de magnésium hexahydraté,4
807,Glucose monohydraté,5
808,Chlorure de sodium,1
808,lactate de sodium,2
808,Chlorure de calcium dihydraté,3
808,Chlorure de magnésium hexahydraté,4
808,Glucose monohydraté,5
809,Capécitabine,1
810,Captopril,1
811,Captopril,1
812,Clopidogrel,1
813,Clopidogrel,1
814,Carbamazépine,1
815,Carbamazépine,1
817,Charbon vegétal,1
817,levure de bière,2
818,Carboplatine,1
819,Carboplatine,1
820,Carboplatine,1
821,Carboplatine,1
822,Carboplatine,1
823,Carboplatine,1
824,"Charbon végétal activé, chondrus et huiles essentielles de fenouil",1
825,Charbon actif,1
825,Siméticone,2
826,Charbon actif,1
826,Siméticone,2
827,Charbon végétal activé,1
827,Wakamé,2
827,Rhubarbe,3
827,Menthe poivrée,4
827,Fenouil,5
829,Bisoprolol,1
830,Bisoprolol,1
831,Bisoprolol,1
832,Bisoprolol,1
833,Magnésium,1
833,Pyridoxine,2
834,Carvédilol,1
835,Carvédilol,1
836,Carvédilol,1
837,Carvédilol,1
838,Acide acétylsalicylique,1
839,Acide acetilsalicylique,1
840,Irbesartan,1
841,Irbesartan,1
842,Carvédilol,1
843,Carvédilol,1
844,Doxazosine,1
845,Doxylamine,1
845,pyridoxine,2
846,Doxylamine,1
846,Pyridoxine,2
847,Carvedilol,1
847,Ivabradine,2
848,Carvedilol,1
848,Ivabradine,2
849,Huile essentielles,1
850,Caronositol,1
851,Cartéolol Chlorhydrate,1
852,Acéclofénac,1
853,Carvédilol,1
854,Carvédilol,1
855,Bicalutamide,1
856,Inosine,1
857,Diclofenac,1
858,Diclofenac,1
859,Diclofenac,1
860,Clonidine,1
861,Ciprofloxacine,1
862,Ciprofloxacine,1
863,Ciprofloxacine,1
864,Ciprofloxacine,1
866,Oxybuprocaïne,1
